Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss,'08-20','09-03','09-17','10-01','10-15','10-29','11-12','11-26','12-10','12-24','01-07','01-21','02-04','02-18','03-04','03-18','04-01','04-15','04-29','05-13','05-27','06-10','06-24','07-08','07-22','08-05','08-19'
2017,OKLAHOMA,40,Jackson,"190,000","130,000","60,000",76890.34,52609.18,24281.16,0.315789474,0.311152358,0.232958476,0.338722915,0.317568591,0.319746477,0.166360725,0.402590966,0.327438669,0.183982732,0.370154096,0.131557134,0.380804137,0.147196801,0.449069545,0.200729102,0.065526859,0.472269555,0.281689286,0.373050622,0.312684582,0.216480334,0.264264711,0.246048534,0.336879289,0.304552886,0.264820972,0.25498689
2017,OKLAHOMA,40,Kiowa,"200,000","142,000","58,000",80937.2,57465.412,23471.788,0.29,0.282874883,0.25695179,0.330775544,0.315103053,0.311148555,0.304188113,0.407702326,0.290867794,0.327918074,0.373520368,0.211959165,0.383886017,0.193835527,0.449277211,0.147522308,0.095389867,0.48309577,0.480263813,0.4138791,0.376134238,0.299629396,0.317778043,0.232337942,0.285571445,0.288081057,0.301473278,0.298416708
2017,OKLAHOMA,40,Beckham,"55,000","26,000","29,000",22257.73,10521.836,11735.894,0.527272727,0.291577699,0.20003951,0.365818245,0.349661164,0.374214626,0.428189464,,,0.127626751,0.343359039,0.312711618,0.335747545,,0.389432562,,,,0.28583274,0.356143192,0.355733941,0.280663867,0.32159196,,,0.256869158,0.183243425,0.272102052
2017,OKLAHOMA,40,Blaine,"183,000","103,000","80,000",74057.538,41682.658,32374.88,0.43715847,0.316441272,0.260316739,0.349626337,0.303402234,0.37164044,0.382200036,0.53124653,0.349014691,0.443998346,0.3873049,0.342173585,0.379964175,0.270531167,0.434711676,0.451799471,0.099642996,0.510978977,0.362992007,0.471353695,0.412863007,0.340902771,0.355409512,0.306563323,0.302284984,0.314963261,0.349519356,0.233558197
2017,OKLAHOMA,40,Custer,"169,000","125,000","44,000",68391.934,50585.75,17806.184,0.26035503,0.306316704,0.202086239,0.341344366,0.334121267,0.385169264,0.518264569,0.533041262,0.48485313,0.346112578,0.400017008,0.368629607,0.381406439,0.206105602,0.441134635,0.47340655,0.144893087,0.509936311,0.488091641,0.403200055,0.393236994,0.309161485,0.327596381,0.209535039,0.311090795,0.294486411,0.312137839,0.27182157
2017,OKLAHOMA,40,Dewey,"112,000","62,000","50,000",45324.832,25090.532,20234.3,0.446428571,0.307706321,0.18846704,0.331301682,0.351636043,0.428848406,0.529715143,0.511401448,0.312032273,0.250213247,0.386626999,0.308054342,0.364218989,0.210638718,0.426803682,0.239613971,0.120399435,0.456717421,0.46625369,0.37672148,0.407084465,0.312112928,0.347059822,0.346067466,0.35855679,0.318483267,0.267211081,0.186850505
2017,OKLAHOMA,40,Roger Mills,"49,000","21,000","28,000",19829.614,8498.406,11331.208,0.571428571,0.292706877,0.233384628,0.321018526,0.343293887,0.40353846,0.451704229,0.381383478,0.083169284,0.154167166,0.331222794,0.285480011,0.312710053,0.289790109,0.366609779,0.07596999,0.03874637,0.336868816,0.327969279,0.382538915,0.376966963,0.2830452,0.327903556,0.294094168,0.2961384,0.182461516,0.14768697,0.240063153
2017,OKLAHOMA,40,Washita,"212,000","138,000","74,000",85793.432,55846.668,29946.764,0.349056604,0.294223826,0.267019163,0.358227076,0.343836656,0.375478345,0.462056642,0.500435357,0.446104002,0.325965879,0.383303991,0.346172537,0.374406414,0.248841824,0.440261273,0.143918965,0.119428725,0.480155451,0.464800704,0.39386084,0.364297333,0.298959585,0.315115498,0.299124908,0.304944943,0.283701347,0.287519785,0.259916638
2017,OREGON,41,Gilliam,"95,000","95,000",0,38445.17,38445.17,0,0,0.145219119,0.14680245,0.071924589,0.144611812,0.104927203,0.178851131,0.072605721,0.070191611,,0.085281358,0.005899746,0.009681432,0.039197015,0.175425107,0.270945284,,0.386788712,0.418228379,0.52338843,0.526329189,0.557382181,0.402568566,0.295523371,0.234435038,0.216339622,0.208727056,0.198995476
2017,OREGON,41,Morrow,"130,000","129,000","1,000",52609.18,52204.494,404.686,0.007692308,0.078472543,0.146386429,0.06685238,0.139381639,0.107305171,0.140965906,0.086342315,0.049545996,0.014739456,0.044573674,0.005662649,0.029129271,0.067061617,0.093343565,0.25911917,0.362587856,0.248239405,0.411420038,0.539776898,0.394038736,0.517368447,0.363834912,0.272343282,0.222257791,0.200416219,0.200326307,0.195790421
