Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss,'08-20','09-03','09-17','10-01','10-15','10-29','11-12','11-26','12-10','12-24','01-07','01-21','02-04','02-18','03-04','03-18','04-01','04-15','04-29','05-13','05-27','06-10','06-24','07-08','07-22','08-05','08-19'
2015,ARKANSAS,5,Conway,"6,300","2,500","3,800",2549.5218,1011.715,1537.8068,0.603174603,0.433175782,0.460170787,0.158116396,0.35015166,0.410514293,0.561643807,0.555401589,,0.481620301,0.071240847,,0.581393206,0.576851143,,0.548635169,0.44829141,0.272334206,0.476015518,0.662992029,0.216345149,0.189690264,0.363556138,0.404800009,0.478331579,0.573663795,0.597197845,0.019027917
2015,ARKANSAS,5,Pulaski,"2,900","1,300","1,600",1173.5894,526.0918,647.4976,0.551724138,0.460466858,0.416864291,0.164999901,0.557482359,0.447717104,0.370802284,0.309701307,,0.259708497,0.149955362,,0.284259912,0.361146092,,0.246781759,0.055764923,0.34573656,0.116898369,,0.089086417,0.303882411,0.287452849,0.44591104,0.536152349,0.483753075,0.427574565,
2015,ARKANSAS,5,Arkansas,"11,600","10,000","1,600",4694.3576,4046.86,647.4976,0.137931034,0.501303984,0.460256958,0.408343711,0.231641952,0.325540108,0.368006069,0.371768429,0.051948826,0.051774215,0.222421691,,0.136458422,0.442242373,,,0.26059798,0.353497651,0.288996047,0.648727698,,0.334927584,0.399864939,0.445947838,0.467592712,0.415659359,0.392785822,0.428834642
2015,ARKANSAS,5,Crittenden,"28,400","24,000","4,400",11493.0824,9712.464,1780.6184,0.154929577,0.597485628,0.316707847,0.447473967,0.229970681,0.231942966,0.294051958,,0.045836698,0.331269171,,0.056131329,0.187875289,0.417890333,,,0.081804217,,0.026612613,0.606749102,,0.331865176,0.31790871,,0.28098774,0.403116342,0.430802094,0.381101852
2015,ARKANSAS,5,Cross,"11,900","9,900","2,000",4815.7634,4006.3914,809.372,0.168067227,0.630022389,0.255729301,0.428419072,0.257290806,0.227252479,0.385923185,0.270439323,0.051126707,0.448197335,0.081737236,0.074247129,0.232463064,0.483894738,,,0.085034323,0.197766889,0.019726387,0.666305658,,0.357057453,0.356100118,0.513976591,0.322698746,0.425720913,0.488834824,0.485430363
2015,ARKANSAS,5,Lee,"16,400","13,200","3,200",6636.8504,5341.8552,1294.9952,0.195121951,0.584744146,0.459147628,0.396315917,0.255070647,0.279888597,0.286405911,0.261266752,0.056401265,0.302327025,0.044470297,,0.126046599,0.444183299,,,0.136918027,0.362136465,0.028931107,0.659380372,,0.321578875,0.366660056,0.19930701,0.321799363,0.36539351,0.408098931,0.387352842
2015,ARKANSAS,5,Lonoke,"6,800","5,200","1,600",2751.8648,2104.3672,647.4976,0.235294118,0.461410312,0.46523817,,,0.387067777,0.326218175,0.287063048,,,0.182913303,,,0.376044967,,,0.086939394,0.351985812,0.048669191,,,0.372633402,0.347954726,0.414927782,0.489737564,0.486910516,0.456509361,
2015,ARKANSAS,5,Monroe,"16,000","13,600","2,400",6474.976,5503.7296,971.2464,0.15,0.567544323,0.524405985,0.476960629,0.343151032,0.370713465,0.345761408,0.32058267,0.035675561,0.13953893,0.050848186,,0.148987061,0.393219913,,,0.238639426,0.338370299,0.038135394,0.622002039,,0.247258636,0.461260784,0.267374137,0.476807065,0.482845152,0.498305475,0.498194326
2015,ARKANSAS,5,Phillips,"26,800","20,000","6,800",10845.5848,8093.72,2751.8648,0.253731343,0.544396944,0.378057694,0.411723365,0.323029364,0.325334174,0.295662019,0.349490376,0.062888491,0.249058441,0.053807123,,0.118708507,0.403010287,,,0.061809229,0.349622235,0.03209956,0.575415228,,0.346751919,0.379360899,0.273396219,0.388996318,0.428117799,0.440060332,0.465320866
2015,ARKANSAS,5,Prairie,"3,300","2,600",700,1335.4638,1052.1836,283.2802,0.212121212,0.400642725,0.482522767,0.459321474,0.380894625,0.360251771,0.328813471,0.316008118,0.034494778,0.068555366,0.155180291,,0.089585794,0.384399986,,,0.147356082,0.408112055,0.055719976,0.565954164,,0.285349145,0.342497385,0.355580373,0.520285597,0.478425613,0.439955433,0.461466553
2015,ILLINOIS,17,Menard,700,700,0,283.2802,283.2802,0,0,0.718821536,0.640780412,0.474714657,,0.345964203,0.374689183,0.141954886,0.162537396,0.110094417,0.167371505,0.053958479,,0.102492984,0.026870029,0.251092811,0.054759599,0.523535722,0.680427975,0.649881979,0.718868561,0.534015811,0.444381302,0.34698424,0.484328432,0.487184861,0.545824021,0.537549094
2015,ILLINOIS,17,Peoria,"1,400","1,350",50,566.5604,546.3261,20.2343,0.035714286,0.500680901,0.607593997,0.502734411,,0.290848788,0.333924951,0.261845525,0.286275801,0.258453543,0.085104346,0.033089533,,0.030112607,0.042341695,0.199403881,0.078919496,0.400117665,0.597628932,0.426918631,0.714859027,0.599037169,0.454305628,0.352144032,0.425841176,0.515293968,0.542706597,0.4941322
2015,ILLINOIS,17,Tazewell,"2,200","2,100",100,890.3092,849.8406,40.4686,0.045454545,0.45425025,0.628619753,0.456719415,,0.324379487,0.341257931,0.226552746,0.288358659,0.294548761,0.07609177,0.032788204,,0.034334452,0.073639535,0.258247399,0.088343626,0.434270788,0.599063767,0.443631003,0.640731883,0.63189464,0.552445939,0.366342641,0.405566123,0.470059427,0.527260853,0.529329144
2015,ILLINOIS,17,Woodford,"2,200","2,100",100,890.3092,849.8406,40.4686,0.045454545,0.517085778,0.729399897,0.535737009,,0.279558996,0.272336489,0.188694943,0.231044339,0.208595798,0.06878004,0.027197603,,0.01472456,0.043756854,0.171067208,0.072186456,0.369839814,0.557882605,0.337869898,0.664035973,0.741860197,0.533023519,0.380528454,0.457928388,0.479459828,0.530725981,0.529610477
2015,ILLINOIS,17,Champaign,"2,700","2,600",100,1092.6522,1052.1836,40.4686,0.037037037,,0.598253245,0.432019947,0.150771542,0.33214027,0.299585427,0.21432208,0.054898578,0.076190924,0.064502992,0.042722487,0.069193213,0.070858735,0.072752908,0.276865979,0.139196455,0.254673792,,0.552828966,0.57369717,0.489184472,0.311769002,0.134590116,0.421181398,0.428396894,,0.502283418
2015,ILLINOIS,17,Iroquois,"4,600","4,150",450,1861.5556,1679.4469,182.1087,0.097826087,0.091171198,0.642280016,0.47717824,0.188794063,0.308733599,0.18944052,0.252476584,0.068066925,0.057731356,0.097924642,0.024112351,,-0.007869287,0.139035818,0.245705064,0.112711249,0.234507723,0.020982255,0.297028129,0.615733487,0.339789284,0.321336693,0.251961791,0.309527132,0.440117101,,0.47832515
2015,ILLINOIS,17,Livingston,"6,000","5,300",700,2428.116,2144.8358,283.2802,0.116666667,0.018773655,0.668092055,0.478439734,0.099258442,0.278722721,0.135485898,0.139678015,0.054805396,,0.114250875,0.024363357,,0.007512137,0.048591033,0.199536804,0.127533572,0.036960977,0.026830922,0.318594246,0.700102459,0.600950479,0.055738944,0.161884767,0.094982755,0.408429362,,0.471251608
2015,ILLINOIS,17,Vermilion,"2,800","2,750",50,1133.1208,1112.8865,20.2343,0.017857143,,0.586879265,0.440566019,0.120903065,0.327961562,0.27784117,0.124226564,0.070821041,0.067361852,0.051121458,0.034428521,,0.025836798,0.082154414,0.286082274,0.116576518,0.365192754,,0.595951171,0.412459647,0.303215014,0.385324139,0.1499045,0.357900937,0.439155321,,0.4645953
2015,ILLINOIS,17,Clark,"4,400","4,200",200,1780.6184,1699.6812,80.9372,0.045454545,0.073201266,0.521588019,0.390559034,0.284488354,0.095469878,0.352078014,0.068361419,0.049474239,0.163593745,0.037610779,0.131352079,0.046090542,0.282330441,0.010506349,0.24313407,0.086140479,0.324466009,,0.505022766,0.207993674,0.506396042,0.437159986,0.180593023,0.486361058,0.480350975,0.010777958,0.446488531
2015,ILLINOIS,17,Clay,"10,900","10,500",400,4411.0774,4249.203,161.8744,0.036697248,0.335546229,0.485110373,0.446410144,0.274523964,0.298812338,0.318497372,0.087046709,0.286141523,0.227705209,,0.135945868,0.047164154,0.343234913,-0.029936407,0.210868005,,0.330186005,,0.582338313,0.068901335,0.564243952,0.368645138,0.093002236,0.420139506,0.413344857,0.052296157,0.382749717
2015,ILLINOIS,17,Crawford,"2,900","2,800",100,1173.5894,1133.1208,40.4686,0.034482759,,,,0.378046308,0.130787935,0.360282688,0.078543131,,0.214173653,,,0.040605898,0.302713807,0.000819451,0.174024942,,0.536381516,,,0.233817257,0.361979089,0.420689378,0.192603919,0.48610211,0.5413261,,
2015,ILLINOIS,17,Cumberland,"1,100","1,000",100,445.1546,404.686,40.4686,0.090909091,0.12227643,0.766353804,0.54843552,0.218339191,0.316120943,0.293189221,0.070455565,0.24819148,0.076399812,0.038064837,0.290889018,0.045766756,0.293318561,0.012290583,0.296909893,0.171115416,0.176746851,,0.645888783,0.398609724,0.540798586,0.476656515,0.124432712,0.449406766,0.439389688,0.016320419,0.481680483
2015,ILLINOIS,17,Effingham,"5,500","5,100",400,2225.773,2063.8986,161.8744,0.072727273,0.170079291,0.624166936,0.525994026,0.193762183,0.28252424,0.267168143,0.096938928,0.28578517,0.104185292,,0.240746286,0.048544806,0.241033757,0.00352539,0.255993143,,0.189615019,,0.61334063,0.202108568,0.575653408,0.393018274,0.287325546,0.448622396,0.444069249,0.042982545,0.438119381
2015,ILLINOIS,17,Jasper,"2,500","2,350",150,1011.715,951.0121,60.7029,0.06,0.226411044,0.628602677,0.522408205,0.279466372,0.275631269,0.327627583,0.081816238,0.239268719,0.237439925,,0.152532174,0.044712788,0.294914547,-0.00852129,0.195190997,,0.350045524,,0.505262156,0.172053022,0.515649344,0.434479649,0.24265016,0.470380788,0.471438531,0.020766613,0.462161586
2015,ILLINOIS,17,Lawrence,"7,200","7,050",150,2913.7392,2853.0363,60.7029,0.020833333,,,,0.318879556,0.147813633,0.274249268,0.106201467,,0.246904129,,,0.041286995,0.289736312,-0.024027017,0.089687035,,0.566258118,,,0.217636994,0.448308965,0.358131665,0.053353764,0.419762077,0.465056128,,
2015,ILLINOIS,17,Marion,"8,700","8,150",550,3520.7682,3298.1909,222.5773,0.063218391,0.33834835,0.618316188,0.508543261,0.295019355,0.277776535,0.222019329,0.100353088,0.25933288,0.231388861,,0.211972375,0.056139169,0.175573404,-0.028091885,0.323649704,,0.149428521,,0.601903328,0.060954224,0.63549094,0.33262973,0.043129942,0.40401643,0.376498862,0.078071084,0.374589254
2015,ILLINOIS,17,Moultrie,500,450,50,202.343,182.1087,20.2343,0.1,0.091743311,0.73205252,0.530515688,0.022398933,0.322295105,0.282061339,0.091996937,0.137918208,0.057138962,0.037956798,0.182785935,0.046986561,0.183681018,-0.003406977,0.247976029,0.09424952,0.027675662,,0.498579888,0.416113986,0.58526824,0.381728112,0.138212382,0.536687859,0.530561976,0.021215672,0.561622955
2015,ILLINOIS,17,Richland,"4,800","4,500",300,1942.4928,1821.087,121.4058,0.0625,0.264942643,0.592178719,0.473079149,0.279600316,0.247795505,0.319997083,0.105776097,0.288468521,0.278371703,,0.078821016,0.041547151,0.335478927,-0.024882652,0.150762696,,0.517986656,,0.517001799,0.197096435,0.459622114,0.40281614,0.170514506,0.413500045,0.460505536,0.040335812,0.377883882
2015,ILLINOIS,17,Boone,"1,700","1,450",250,687.9662,586.7947,101.1715,0.147058824,0.287167796,0.691814807,0.484686172,0.257687412,0.286091827,0.19667448,0.055359687,0.24884883,0.041333088,0.28056329,0.025419117,,0.018961634,0.035278078,-0.003967751,0.139954909,0.31190608,0.501846808,0.038606617,0.742715706,0.65963911,0.060938517,0.160344234,0.443783636,0.404338603,0.398000609,0.289802068
2015,ILLINOIS,17,De Kalb,"5,500","5,200",300,2225.773,2104.3672,121.4058,0.054545455,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,ARKANSAS,5,Saint Francis,"10,500","8,400","2,100",4249.203,3399.3624,849.8406,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
