Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss
2015,GEORGIA,13,Oglethorpe,"2,300","1,950",350,930.7778,789.1377,141.6401,0.152173913
2015,GEORGIA,13,Wilkes,800,200,600,323.7488,80.9372,242.8116,0.75
2015,GEORGIA,13,Dooly,"8,900","4,100","4,800",3601.7054,1659.2126,1942.4928,0.539325843
2015,GEORGIA,13,Tift,700,500,200,283.2802,202.343,80.9372,0.285714286
2015,GEORGIA,13,Wilcox,"2,500",800,"1,700",1011.715,323.7488,687.9662,0.68
2015,GEORGIA,13,Tattnall,"1,300",800,500,526.0918,323.7488,202.343,0.384615385
2015,GEORGIA,13,Early,"6,700","4,700","2,000",2711.3962,1902.0242,809.372,0.298507463
2015,GEORGIA,13,Lee,"3,600","3,100",500,1456.8696,1254.5266,202.343,0.138888889
2015,GEORGIA,13,Miller,"7,300","5,000","2,300",2954.2078,2023.43,930.7778,0.315068493
2015,GEORGIA,13,Randolph,"6,900","6,200",700,2792.3334,2509.0532,283.2802,0.101449275
2015,GEORGIA,13,Seminole,"2,100","1,800",300,849.8406,728.4348,121.4058,0.142857143
2015,GEORGIA,13,Sumter,"7,300","6,400",900,2954.2078,2589.9904,364.2174,0.123287671
2015,GEORGIA,13,Terrell,"6,400","3,900","2,500",2589.9904,1578.2754,1011.715,0.390625
2015,GEORGIA,13,Macon,"6,300","1,750","4,550",2549.5218,708.2005,1841.3213,0.722222222
2015,IDAHO,16,Bannock,"18,500","17,500","1,000",7486.691,7082.005,404.686,0.054054054
2015,IDAHO,16,Bingham,"82,300","78,300","4,000",33305.6578,31686.9138,1618.744,0.048602673
2015,IDAHO,16,Bonneville,"19,500","18,400","1,100",7891.377,7446.2224,445.1546,0.056410256
2015,IDAHO,16,Caribou,"22,500","21,000","1,500",9105.435,8498.406,607.029,0.066666667
2015,IDAHO,16,Power,"65,700","61,400","4,300",26587.8702,24847.7204,1740.1498,0.065449011
2015,IDAHO,16,Teton,"1,600","1,500",100,647.4976,607.029,40.4686,0.0625
2015,IDAHO,16,Benewah,"25,300","24,300","1,000",10238.5558,9833.8698,404.686,0.039525692
2015,IDAHO,16,Boundary,"12,600","12,100",500,5099.0436,4896.7006,202.343,0.03968254
2015,IDAHO,16,Idaho,"61,200","57,200","4,000",24766.7832,23148.0392,1618.744,0.065359477
2015,IDAHO,16,Latah,"70,200","64,200","6,000",28408.9572,25980.8412,2428.116,0.085470085
2015,IDAHO,16,Lewis,"72,000","67,000","5,000",29137.392,27113.962,2023.43,0.069444444
2015,IDAHO,16,Nez Perce,"78,100","71,700","6,400",31605.9766,29015.9862,2589.9904,0.081946223
2015,IDAHO,16,Cassia,"44,400","43,800",600,17968.0584,17725.2468,242.8116,0.013513514
2015,IDAHO,16,Jerome,"8,100","7,800",300,3277.9566,3156.5508,121.4058,0.037037037
2015,IDAHO,16,Minidoka,"13,400","13,200",200,5422.7924,5341.8552,80.9372,0.014925373
2015,IDAHO,16,Twin Falls,"20,900","20,600",300,8457.9374,8336.5316,121.4058,0.014354067
2015,IDAHO,16,Ada,"4,100","3,800",300,1659.2126,1537.8068,121.4058,0.073170732
2015,IDAHO,16,Canyon,"21,300","21,100",200,8619.8118,8538.8746,80.9372,0.009389671
2015,IDAHO,16,Elmore,"11,300","8,600","2,700",4572.9518,3480.2996,1092.6522,0.238938053
2015,IDAHO,16,Owyhee,"5,900","5,500",400,2387.6474,2225.773,161.8744,0.06779661
2015,IDAHO,16,Payette,"2,900","2,800",100,1173.5894,1133.1208,40.4686,0.034482759
2015,IDAHO,16,Washington,"5,300","4,800",500,2144.8358,1942.4928,202.343,0.094339623
2015,ILLINOIS,17,Macon,800,750,50,323.7488,303.5145,20.2343,0.0625
2015,ILLINOIS,17,Marshall,800,750,50,323.7488,303.5145,20.2343,0.0625
2015,ILLINOIS,17,Mason,"3,100","3,000",100,1254.5266,1214.058,40.4686,0.032258065
2015,ILLINOIS,17,Menard,700,700,0,283.2802,283.2802,0,0
2015,ILLINOIS,17,Peoria,"1,400","1,350",50,566.5604,546.3261,20.2343,0.035714286
2015,ILLINOIS,17,Tazewell,"2,200","2,100",100,890.3092,849.8406,40.4686,0.045454545
2015,ILLINOIS,17,Woodford,"2,200","2,100",100,890.3092,849.8406,40.4686,0.045454545
2015,ILLINOIS,17,Champaign,"2,700","2,600",100,1092.6522,1052.1836,40.4686,0.037037037
2015,ILLINOIS,17,Iroquois,"4,600","4,150",450,1861.5556,1679.4469,182.1087,0.097826087
2015,ILLINOIS,17,Livingston,"6,000","5,300",700,2428.116,2144.8358,283.2802,0.116666667
2015,ILLINOIS,17,Vermilion,"2,800","2,750",50,1133.1208,1112.8865,20.2343,0.017857143
2015,ILLINOIS,17,Clark,"4,400","4,200",200,1780.6184,1699.6812,80.9372,0.045454545
2015,ILLINOIS,17,Clay,"10,900","10,500",400,4411.0774,4249.203,161.8744,0.036697248
2015,ILLINOIS,17,Crawford,"2,900","2,800",100,1173.5894,1133.1208,40.4686,0.034482759
