Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss,Aug-20,09-Mar,Sep-17,10-Jan,Oct-15,Oct-29,11-Dec,Nov-26,12-Oct,Dec-24,01-Jul,Jan-21,02-Apr,Feb-18,03-Apr,Mar-18,04-Jan,Apr-15,Apr-29,May-13,May-27,06-Oct,Jun-24,07-Aug,Jul-22,08-May,Aug-19,03-Mar,Mar-17,Mar-31,Apr-14,Apr-28,05-Dec,May-26,06-Sep,Jun-23,07-Jul,Jul-21,08-Apr,Aug-18
2015,WISCONSIN,55,Waupaca,"2,300","2,200",100,930.7778,890.3092,40.4686,0.043478261,0.065985401,0.595957792,0.076948537,0.801805526,0.061559327,0.349565991,0.071015441,0.038127639,0.267103731,0.066635846,,,0.048068501,0.054800829,0.084641587,,,0.323542492,0.256637101,0.227015972,0.592842743,0.022972615,0.29026469,0.520496295,0.392181563,0.439895108,,,,,,,,,,,,,,
2015,WISCONSIN,55,Waushara,"1,200","1,130",70,485.6232,457.29518,28.32802,0.058333333,0.215646569,0.55212451,0.169854991,0.458454195,0.239448952,0.382430496,0.09770767,0.046501651,0.185427369,0.305287721,,,0.053188508,0.056524737,0.124160164,,0.120564327,0.372510713,0.308656441,0.176189712,0.536402729,0.295972789,0.287599568,0.475332497,0.394852471,0.450309736,,,,,,,,,,,,,,
2015,WISCONSIN,55,Brown County,"5,600","5,260",340,2266.2416,2128.64836,137.59324,0.060714286,0.460631109,0.646000064,0.520640859,0.367938272,0.289964948,0.254874654,0.096108029,0.029619429,0.118116591,0.249467612,0.040661469,,0.044927691,0.041801972,0.093476467,0.212422856,0.043343292,0.264195094,0.20659168,0.556285197,0.626849801,,0.477710525,0.530125056,0.336316598,0.344294501,,,,,,,,,,,,,,
2015,WISCONSIN,55,Calumet,"7,000","6,350",650,2832.802,2569.7561,263.0459,0.092857143,0.566138651,0.602150055,0.44792463,0.3230883,0.330511118,0.33831342,0.074756633,0.059437286,0.15891127,0.299010445,0.041461336,,0.040349809,0.04074874,0.170464491,0.161212845,0.042491487,0.366955272,0.123401217,0.637610327,0.691938403,,0.292873694,0.484517381,0.334428848,0.352621747,,,,,,,,,,,,,,
2015,WISCONSIN,55,Door County,"6,500","6,270",230,2630.459,2537.38122,93.07778,0.035384615,0.147963884,0.552893282,0.453966075,0.371186583,0.363018901,0.179211114,0.138130694,0.055010702,0.036767985,0.2942754,0.048109691,,0.046618205,0.043060153,0.053634511,0.246451926,0.064420124,0.031159184,0.381674522,0.341041959,0.585918595,,0.451192402,0.540701246,0.226702852,0.146891,,,,,,,,,,,,,,
2015,WISCONSIN,55,Fond du Lac,"10,800","10,600",200,4370.6088,4289.6716,80.9372,0.018518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,WISCONSIN,55,Kewaunee,"6,600","6,000",600,2670.9276,2428.116,242.8116,0.090909091,0.215705261,0.65986471,0.550087497,0.403620856,0.3019854,0.187558723,0.100107396,0.032554756,0.049034111,0.248409338,0.04167806,,0.048114426,0.036764261,0.079166345,0.217475079,0.041235592,0.160479631,0.202388604,0.523779305,0.611685865,,0.504888505,0.56129418,0.308178278,0.206127929,,,,,,,,,,,,,,
2015,WISCONSIN,55,Manitowoc,"12,700","12,100",600,5139.5122,4896.7006,242.8116,0.047244094,0.259862191,0.614489774,0.498939573,0.35410781,0.316613242,0.184954913,0.092879044,0.039164127,0.100756499,0.288339792,0.049176798,,0.049215762,0.037257488,0.135629104,0.224797816,0.043991974,0.180474021,0.075105478,0.605972791,0.674087217,,0.226015596,0.461219025,0.338307177,0.229611233,,,,,,,,,,,,,,
2015,WISCONSIN,55,Outagamie,"4,500","4,200",300,1821.087,1699.6812,121.4058,0.066666667,0.25951294,0.680331025,0.522290359,0.334149563,0.260149612,0.284294641,0.078371996,0.028909827,0.142314723,0.246306752,0.043521013,,0.052973846,0.047334274,0.092333034,0.203919662,0.044886209,0.295488112,0.287952758,0.56108369,0.63814383,,0.300020608,0.527943795,0.364236812,0.376452338,,,,,,,,,,,,,,
2015,WISCONSIN,55,Sheboygan County,"8,800","8,720",80,3561.2368,3528.86192,32.37488,0.009090909,0.224053354,0.624358106,0.490866091,0.340499833,0.312530374,0.093312901,0.05247813,0.081156005,0.106506917,0.286333536,0.047082138,,0.041742993,0.042907838,0.150694392,0.165542711,0.04863761,0.263234255,0.089415902,0.637718906,0.694609777,,0.332206917,0.428794158,0.386901632,0.316795393,,,,,,,,,,,,,,
