Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss,Aug-20,09-Mar,Sep-17,10-Jan,Oct-15,Oct-29,11-Dec,Nov-26,12-Oct,Dec-24,01-Jul,Jan-21,02-Apr,Feb-18,03-Apr,Mar-18,04-Jan,Apr-15,Apr-29,May-13,May-27,06-Oct,Jun-24,07-Aug,Jul-22,08-May,Aug-19
2019,OKLAHOMA,40,Washita,"196,000","115,000","81,000",79318.456,46538.89,32779.566,0.413265306,0.337876953,0.233329335,0.353357454,-0.000732229,0.128099655,0.152567713,0.400894737,0.390136418,0.383201502,0.160382653,0.021576393,0.015353657,0.256081134,0.027822414,0.390427901,0.000886942,0.017118839,0.612141348,0.168119517,0.028575646,0.286998264,0.263297601,0.204962809,0.309618181,0.195132655,0.259502597,0.118441598
2019,OREGON,41,Gilliam,"100,000","100,000",0,40468.6,40468.6,0,0,0.055349619,0.141290505,0.153068689,0.073412007,0.109951685,0.169662244,0.182369727,0.050778081,0.010416048,0.02745364,0.013676658,0.130806801,-0.00548221,-0.013610446,-0.05120875,0.116100002,0.054010728,0.309610724,0.484612043,0.511307187,0.45869889,0.27543118,0.214193291,0.187717572,0.154402078,0.165273883,0.143211975
2019,OREGON,41,Morrow,"136,000","135,500",500,55037.296,54834.953,202.343,0.003676471,0.050220421,0.146447786,0.148018152,0.084180272,0.127033701,0.168055023,0.17831988,0.057868385,0.042102773,0.02550572,0.014525773,0.005602892,0.001994115,-0.015633472,0.026154895,0.242148756,0.171189589,0.404148395,0.57013921,0.613599791,0.536442968,0.353445957,0.1956222,0.181466188,0.149166841,0.157972615,0.141824587
2019,OREGON,41,Sherman,"116,000","114,500","1,500",46943.576,46336.547,607.029,0.012931034,0.089195013,0.15411983,0.16740851,0.064409844,0.111754535,0.177992913,0.161529191,0.075634253,0.053409395,0.048557896,0.022334136,0.281677783,-0.008463747,-0.015767717,-0.045478435,0.083994327,0.041540899,0.369671031,0.569945388,0.244422885,0.534185703,0.366763625,0.282145271,0.200550059,0.164881956,0.166921197,0.14479872
2019,OREGON,41,Wasco,"61,000","60,000","1,000",24685.846,24281.16,404.686,0.016393443,0.142541673,0.126573484,0.1817918,0.06026484,0.134782485,0.1842381,0.149361985,0.068581148,0.085910341,0.066583655,0.007801343,0.235408219,-0.009841254,-0.013365992,-0.015703019,0.167914071,0.030412285,0.340932062,0.451659881,0.238674306,0.489512676,0.401533171,0.25705695,0.197994944,0.175210878,0.176984296,0.14699121
2019,OREGON,41,Umatilla,"243,000","240,000","3,000",98338.698,97124.64,1214.058,0.012345679,0.150619513,0.180081873,0.170060645,0.1052495,0.177666047,0.234156634,0.224618404,0.238341671,0.289303876,0.052252254,0.001591512,-0.001441346,-0.004818834,-0.013353188,0.043690186,0.353193062,0.32756998,0.496394725,0.695004798,0.714229248,0.604809536,0.457267385,0.30433525,0.224515676,0.181423376,0.17853203,0.165097034
2019,OREGON,41,Union,"16,500","16,000",500,6677.319,6474.976,202.343,0.03030303,0.330403415,0.27676758,0.311179568,0.139836765,0.214070387,0.035799274,0.234536252,0.121663109,0.105375435,0.005817252,0.021744999,0.024028112,0.015729048,-0.014123279,0.017423599,0.131636472,0.264682642,0.475773374,0.586321122,0.716357552,0.026633013,0.244391176,0.675958153,0.512443178,0.293039385,0.223009493,0.196972931
2019,OREGON,41,Clackamas,600,500,100,242.8116,202.343,40.4686,0.166666667,0.376722628,0.310100873,0.291311372,,0.256045392,0.125892116,0.511534502,0.06253569,0.049661158,0.047721584,0.004993108,0.037299375,0.436333391,0.596075763,0.578986068,0.524909057,0.017940766,0.839992802,0.83437133,0.159467116,0.342913855,0.037964164,0.002294901,0.29301804,0.262738921,0.228320762,0.230027557
2019,OREGON,41,Lane,900,900,0,364.2174,364.2174,0,0,0.267895743,0.322542991,0.28098807,0.458283537,0.207756617,0.140667391,0.30041752,0.099124699,0.030080011,0.082338275,0.006837185,0.003163041,0.153065499,0.00881895,0.596619182,0.599841915,0.0168479,0.819606221,0.807931279,0.164104784,0.232867792,0.544099634,0.134641543,0.302115093,0.266787266,0.250248122,0.212129385
2019,OREGON,41,Linn,900,900,0,364.2174,364.2174,0,0,0.057146946,0.280003183,0.260846371,0.209339935,0.231795524,0.164308235,0.215047375,0.078820224,0.024771685,0.040600487,0.009294763,0.090293824,0.186017176,0.574608769,0.61180636,0.652059573,0.014251215,0.82863674,0.822079733,0.151994583,0.142711993,0.443960205,0.060915689,0.307042082,0.273778294,0.264257907,0.210682487
2019,OREGON,41,Marion,"4,800","4,700",100,1942.4928,1902.0242,40.4686,0.020833333,0.117313004,0.306985509,0.266856385,0.279808795,0.226474531,0.168134962,0.089817276,0.058786545,0.039699193,0.024071608,0.01118132,0.180542408,0.217631222,0.65512259,0.443827711,0.644872033,0.011819267,0.850081069,0.836223153,0.173323968,0.363629072,0.151226652,0.011215377,0.262899957,0.230257411,0.210019954,0.192253512
