Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss,08-20,09-03,09-17,10-01,10-15,10-29,11-12,11-26,12-10,12-24,01-07,01-21,02-04,02-18,03-04,03-18,04-01,04-15,04-29,05-13,05-27,06-10,06-24,07-08,07-22,08-05,08-19
2021,ILLINOIS,17,Montgomery,"11,100","10,200",900,4492.0146,4127.7972,364.2174,0.081081081,0.16725479391774659,0.30688891744571895,0.30326509154115355,-0.004679517511242146,0.019584398029735765,0.15880791166679997,0.049051458682351556,0.1695993285252339,0.5229046266129329,0.5170384909690956,0.057991372784455715,0.2347733822550475,0.04352670168794342,0.5202494321026732,0.016482755400771664,0.45618694083186845,0.11369227153802021,0.7030587556429305,0.3128186774970478,0.6273439657709343,0.45929091507370307,0.24133190550812303,0.27228968548006494,0.37190888815121,0.4249816565296454,0.3219773857010297,0.38807121535415656
2021,ILLINOIS,17,Pike,"2,500","2,280",220,1011.715,922.68408,89.03092,0.088,0.03026532831759469,0.6184318665222792,0.44877237957844496,0.27103708833436224,0.01545405158364899,0.10037080690537374,0.004121541269324894,0.41502586167600475,0.17841038322316585,0.007950926730042078,0.2036268419389709,0.16639620886088216,0.013094447416766459,0.3855047659881277,0.014099970560690452,0.6519789122958488,0.8315022899828074,-0.009131828067419516,0.08284286165758878,0.4430852260785078,0.12422452974656717,0.4098932911320598,0.3269491534516925,0.37695229313130774,0.31807592646741756,0.5663060154589794,-0.003598535737915269
2021,INDIANA,18,Bartholomew,"8,700","7,420","1,280",3520.7682,3002.77012,517.99808,0.147126437,0.6981009256638034,0.6561151811807329,0.23836271540004136,0.21853691750246368,0.2376985634717233,0.23692660201089136,0.35911304357643853,-0.0059985589230996846,0.3251851958204783,-0.017422688867404855,0.03240924544660589,0.004671646905243967,-0.005688107119159783,0.0008303406462320243,0.06498844025891862,0.04239728513596317,0.5945155755217099,0.8265190725441313,0.632761303782339,0.4281923713308909,0.2438168057894414,-0.008612028472719377,0.23969281165055917,0.032331651242214036,0.014434331842278847,0.2408172237110183,0.0029732598192229835
2021,INDIANA,18,Boone,"4,300","3,610",690,1740.1498,1460.91646,279.23334,0.160465116,0.41977960018425275,0.4640946556210774,0.163198848685938,0.1919978667150534,0.13645984261457064,0.22090325364083738,0.3764002222311586,0.014478416349349937,0.009782616667301264,-0.008855519335809761,0.016127279590695053,0.010051943585107564,-0.004222689568860817,0.3395768065715681,0.05746488174568744,0.02527028697595941,0.5056985839006716,0.7429990945128772,0.6808694096262343,0.14980626496856306,0.28261032526222396,0.11611067274645943,0.24778310763811742,0.1534887906184843,0.12299449804971999,0.43871966924665595,0.16058679646992607
2021,INDIANA,18,Clinton,"1,800","1,510",290,728.4348,611.07586,117.35894,0.161111111,0.4813661402072953,0.5382128944226953,0.17669896284777076,0.2089117944154221,0.16183421368716006,0.3043069526558128,0.4656516154986796,0.021858525704092042,0.09648949367591342,0.007720569049561042,0.030583130489378534,-0.001074766894726423,-0.0028589298815982164,0.2739971249954584,0.03252975748317911,0.02479753249602102,0.4969833166544228,0.7585766264034441,0.7652937982454279,0.27598458961468647,0.22160568433608485,0.099453904018292,0.24730219943499568,0.14889630545207821,0.20192983426014327,0.45712917545530646,0.23671260338914146
2021,INDIANA,18,Decatur,"6,700","5,710",990,2711.3962,2310.75706,400.63914,0.147761194,0.779894479415065,0.5687579680576785,0.24505738972777677,0.22134578156289877,0.2253958385320163,0.25193678704443734,0.2523894212241558,-0.009496710820917218,0.0739691314142521,-0.01062421502089181,0.03118264552679759,0.006040126991556109,-0.0077446581281591445,-0.0038852397390316488,0.07657118117088146,0.021081021391116225,0.12787563732062254,0.805708235285257,0.7728319988832637,0.28088856596279776,0.20427721013059025,0.02204447581544987,0.22636103262630283,-0.0031835037368843264,0.02736300405989833,0.2456376733207271,0.08717320674397294
2021,INDIANA,18,Grant,"2,000","1,630",370,809.372,659.63818,149.73382,0.185,0.5274110707760623,0.3977149384484644,0.16388939431970476,0.22126005347923605,0.3209599232510534,0.21335817232991403,0.374348268238324,0.0015349140609932231,0.014611558283746134,-0.010697830088944553,0.02786627527877147,-0.0022627646963465134,-0.00454419176176424,0.1336129449328718,0.2620977593435737,0.008879981349136557,0.11152362883513414,0.630295348640555,0.05658786310219723,0.03565482401405911,0.30364364930584825,0.08392005291756732,0.27462117289125676,0.04302031877452252,0.04062713675608586,0.4760912706085711,0.1523156220170634
2021,INDIANA,18,Hancock,"4,500","3,550",950,1821.087,1436.6353,384.4517,0.211111111,0.6911618239022351,0.502713771817391,0.1866728908154357,0.22611043213799958,0.23316136472075896,0.19259720985146894,0.20353256821782276,0.0005333932802983129,0.09134671808881348,-0.023300576507404316,0.01917021421073832,0.014520221539678054,-0.0025758425547690957,0.28804426874533523,0.09969628193642056,0.02565534101328446,0.25988142458131014,0.7491166238837578,0.5623712408655258,0.034063420719319004,0.2593623025600092,0.23964350881499652,0.26851434199445917,0.05017844737958661,0.014530262653979541,0.35104514197640724,0.25645259652285757
2021,INDIANA,18,Howard,"2,400","1,980",420,971.2464,801.27828,169.96812,0.175,0.6770448657309921,0.4802334124403177,0.09342340023933868,0.2133546730790425,0.3099063219716643,0.2794449981892465,0.4284858800012674,0.013633447056072863,0.01654094743698132,-0.021920610990982366,0.023583043919294822,-0.008552043673692255,-0.0038613247183926927,-0.0036174906820736403,0.06497716454873026,0.03170452218619696,0.3370817788074324,0.7228773439512073,0.18193874833977308,0.6050637132196917,0.36064093777897244,0.040004146821801964,0.266299971375183,0.04147207104263378,0.12272504025461911,0.4858140340928174,0.2342603395579249
2021,INDIANA,18,Madison,"2,400","1,960",440,971.2464,793.18456,178.06184,0.183333333,0.7505053660302711,0.4647543744388309,0.12911464179488305,0.2272979304530993,0.2656073531393102,0.19556807162846265,0.15642850094156704,0.0009688030661606821,0.04391653097713493,0.06783826281426944,0.03588973017980822,0.004397126868236353,-0.004125665083985294,0.2829665760762885,0.058699590691770144,0.022708412216955975,0.2267119567680215,0.7212627947036615,0.37405998015953246,0.175710050177792,0.23867679733930777,0.24417821013109303,0.27633005712457215,0.10282852165684972,0.06173051562940686,0.4053123552816803,0.3015170254772386
